day,time,demand,clearing price (CNY/MWh)
2021/12/1,0:15,40334.18,350.8
2021/12/1,0:30,40523.15,350.8
2021/12/1,0:45,40374.74,350.8
2021/12/1,1:00,40111.55,350.8
2021/12/1,1:15,40067.5,348.93
2021/12/1,1:30,39562.02,348.93
2021/12/1,1:45,39629.9,348.93
2021/12/1,2:00,39121.31,348.93
2021/12/1,2:15,39124.08,347.01
2021/12/1,2:30,38730.58,347.01
2021/12/1,2:45,38711.77,347.01
2021/12/1,3:00,38139.21,347.01
2021/12/1,3:15,37918.59,344.27
2021/12/1,3:30,37623.59,344.27
2021/12/1,3:45,37676.76,344.27
2021/12/1,4:00,37526.31,344.27
2021/12/1,4:15,38162.51,345.56
2021/12/1,4:30,38536.24,345.56
2021/12/1,4:45,38575.9,345.56
2021/12/1,5:00,39060.35,345.56
2021/12/1,5:15,39824.33,357.66
2021/12/1,5:30,40550.54,357.66
2021/12/1,5:45,41176.78,357.66
2021/12/1,6:00,41766.42,357.66
2021/12/1,6:15,42614.23,376.59
2021/12/1,6:30,43147.1,376.59
2021/12/1,6:45,43900.59,376.59
2021/12/1,7:00,44109.34,376.59
2021/12/1,7:15,43540.87,387.74
2021/12/1,7:30,43381.69,387.74
2021/12/1,7:45,43283.77,387.74
2021/12/1,8:00,43176.96,387.74
2021/12/1,8:15,43177.39,367.14
2021/12/1,8:30,41665.35,367.14
2021/12/1,8:45,39685.66,367.14
2021/12/1,9:00,38474.32,367.14
2021/12/1,9:15,37635.26,332.22
2021/12/1,9:30,35873.75,332.22
2021/12/1,9:45,35477.69,332.22
2021/12/1,10:00,34609.23,332.22
2021/12/1,10:15,33308.48,34.76
2021/12/1,10:30,32022.7,34.76
2021/12/1,10:45,31631.78,34.76
2021/12/1,11:00,31440.43,34.76
2021/12/1,11:15,33211.9,66.5
2021/12/1,11:30,31915.76,66.5
2021/12/1,11:45,31223.36,66.5
2021/12/1,12:00,31162.45,66.5
2021/12/1,12:15,31402.28,-80
2021/12/1,12:30,31320.65,-80
2021/12/1,12:45,31490.36,-80
2021/12/1,13:00,32171.88,-80
2021/12/1,13:15,32835.6,249.67
2021/12/1,13:30,33423.01,249.67
2021/12/1,13:45,33445.65,249.67
2021/12/1,14:00,33166.07,249.67
2021/12/1,14:15,33406.06,329.09
2021/12/1,14:30,33721.48,329.09
2021/12/1,14:45,35218.39,329.09
2021/12/1,15:00,36647.3,329.09
2021/12/1,15:15,38487.2,363.86
2021/12/1,15:30,40551.92,363.86
2021/12/1,15:45,43109.05,363.86
2021/12/1,16:00,45352.14,363.86
2021/12/1,16:15,47487.7,532.53
2021/12/1,16:30,49764.42,532.53
2021/12/1,16:45,51305.96,532.53
2021/12/1,17:00,51780.72,532.53
2021/12/1,17:15,52756.55,799.42
2021/12/1,17:30,53644.53,799.42
2021/12/1,17:45,53395.22,799.42
2021/12/1,18:00,52696.41,799.42
2021/12/1,18:15,52089.58,582.69
2021/12/1,18:30,51570.1,582.69
2021/12/1,18:45,50718.74,582.69
2021/12/1,19:00,50369.43,582.69
2021/12/1,19:15,49868.66,433.58
2021/12/1,19:30,49691.08,433.58
2021/12/1,19:45,49088.66,433.58
2021/12/1,20:00,48441.64,433.58
2021/12/1,20:15,48329.63,394.49
2021/12/1,20:30,48571.68,394.49
2021/12/1,20:45,48174.32,394.49
2021/12/1,21:00,47865.66,394.49
2021/12/1,21:15,47471.31,381.1
2021/12/1,21:30,46716.2,381.1
2021/12/1,21:45,45403.07,381.1
2021/12/1,22:00,44443.1,381.1
2021/12/1,22:15,43787.38,352.78
2021/12/1,22:30,42836.24,352.78
2021/12/1,22:45,42515.16,352.78
2021/12/1,23:00,43192.68,352.78
2021/12/1,23:15,44785.87,361.44
2021/12/1,23:30,44335.85,361.44
2021/12/1,23:45,43573.18,361.44
2021/12/1,24:00:00,42713.63,361.44
2021/12/2,0:15,42281.2,339.39
2021/12/2,0:30,41666.37,339.39
2021/12/2,0:45,41269.86,339.39
2021/12/2,1:00,40813.73,339.39
2021/12/2,1:15,40503.6,319.7
2021/12/2,1:30,39924.7,319.7
2021/12/2,1:45,39408.98,319.7
2021/12/2,2:00,39136.45,319.7
2021/12/2,2:15,38891.88,304.84
2021/12/2,2:30,38391.67,304.84
2021/12/2,2:45,37988.99,304.84
2021/12/2,3:00,37406.98,304.84
2021/12/2,3:15,37230.41,286.44
2021/12/2,3:30,37042.34,286.44
2021/12/2,3:45,36856.69,286.44
2021/12/2,4:00,36579.42,286.44
2021/12/2,4:15,36781.53,289.48
2021/12/2,4:30,36483.73,289.48
2021/12/2,4:45,36822.27,289.48
2021/12/2,5:00,37126.04,289.48
2021/12/2,5:15,37859.85,316.3
2021/12/2,5:30,38286.88,316.3
2021/12/2,5:45,38814.07,316.3
2021/12/2,6:00,38985.58,316.3
2021/12/2,6:15,39344.89,347.27
2021/12/2,6:30,39495.49,347.27
2021/12/2,6:45,40442.26,347.27
2021/12/2,7:00,40322.98,347.27
2021/12/2,7:15,40103.42,354.35
2021/12/2,7:30,40330.98,354.35
2021/12/2,7:45,40419.77,354.35
2021/12/2,8:00,40313.51,354.35
2021/12/2,8:15,40416.39,318.56
2021/12/2,8:30,39146.88,318.56
2021/12/2,8:45,37783.65,318.56
2021/12/2,9:00,36912.45,318.56
2021/12/2,9:15,36132.51,84
2021/12/2,9:30,35510.45,84
2021/12/2,9:45,34273.47,84
2021/12/2,10:00,33752.57,84
2021/12/2,10:15,33105.4,-80
2021/12/2,10:30,32762.3,-80
2021/12/2,10:45,32026.94,-80
2021/12/2,11:00,32548.53,-80
2021/12/2,11:15,33078.85,-80
2021/12/2,11:30,32599.95,-80
2021/12/2,11:45,32068.64,-80
2021/12/2,12:00,31606.39,-80
2021/12/2,12:15,31976.52,-80
2021/12/2,12:30,31904.66,-80
2021/12/2,12:45,32084.84,-80
2021/12/2,13:00,32365.41,-80
2021/12/2,13:15,32367.99,-80
2021/12/2,13:30,32480.1,-80
2021/12/2,13:45,32941.12,-80
2021/12/2,14:00,32634.83,-80
2021/12/2,14:15,32282.52,-32.71
2021/12/2,14:30,31689.04,-32.71
2021/12/2,14:45,32843.67,-32.71
2021/12/2,15:00,33818.67,-32.71
2021/12/2,15:15,35694.03,316.55
2021/12/2,15:30,37937.54,316.55
2021/12/2,15:45,39869.68,316.55
2021/12/2,16:00,41682.68,316.55
2021/12/2,16:15,43519.1,422.62
2021/12/2,16:30,44898,422.62
2021/12/2,16:45,46061.86,422.62
2021/12/2,17:00,45458.66,422.62
2021/12/2,17:15,46171.06,602.24
2021/12/2,17:30,46385.68,602.24
2021/12/2,17:45,45891.56,602.24
2021/12/2,18:00,44558.54,602.24
2021/12/2,18:15,43395.8,401.22
2021/12/2,18:30,42839.8,401.22
2021/12/2,18:45,41729.88,401.22
2021/12/2,19:00,41178.08,401.22
2021/12/2,19:15,40798.04,352.26
2021/12/2,19:30,40689.72,352.26
2021/12/2,19:45,40615.76,352.26
2021/12/2,20:00,40132.95,352.26
2021/12/2,20:15,40270.33,349.48
2021/12/2,20:30,40542.87,349.48
2021/12/2,20:45,40178.44,349.48
2021/12/2,21:00,40667.81,349.48
2021/12/2,21:15,40830.49,343.22
2021/12/2,21:30,40205.3,343.22
2021/12/2,21:45,39537.87,343.22
2021/12/2,22:00,38896.97,343.22
2021/12/2,22:15,38387.54,322.29
2021/12/2,22:30,37975.11,322.29
2021/12/2,22:45,37847.13,322.29
2021/12/2,23:00,39357.2,322.29
2021/12/2,23:15,40900.75,360.01
2021/12/2,23:30,40656.11,360.01
2021/12/2,23:45,40216.29,360.01
2021/12/2,24:00:00,39680.89,360.01
2021/12/3,0:15,39559.39,283.78
2021/12/3,0:30,39411.42,283.78
2021/12/3,0:45,39177.2,283.78
2021/12/3,1:00,38777.19,283.78
2021/12/3,1:15,38689.73,276.33
2021/12/3,1:30,38426.82,276.33
2021/12/3,1:45,38342.6,276.33
2021/12/3,2:00,37772.1,276.33
2021/12/3,2:15,37891.19,269.01
2021/12/3,2:30,37892.8,269.01
2021/12/3,2:45,38578.26,269.01
2021/12/3,3:00,37986.8,269.01
2021/12/3,3:15,38342.34,266.12
2021/12/3,3:30,38192.94,266.12
2021/12/3,3:45,38185.97,266.12
2021/12/3,4:00,38361.65,266.12
2021/12/3,4:15,38797.18,276.06
2021/12/3,4:30,39248.79,276.06
2021/12/3,4:45,39974.45,276.06
2021/12/3,5:00,40359.43,276.06
2021/12/3,5:15,41815.93,327.95
2021/12/3,5:30,42612.58,327.95
2021/12/3,5:45,43920.07,327.95
2021/12/3,6:00,44206.02,327.95
2021/12/3,6:15,45095.5,403.46
2021/12/3,6:30,45870.66,403.46
2021/12/3,6:45,46724.08,403.46
2021/12/3,7:00,47464.63,403.46
2021/12/3,7:15,47840.07,462.57
2021/12/3,7:30,47853.12,462.57
2021/12/3,7:45,48689.65,462.57
2021/12/3,8:00,48104.3,462.57
2021/12/3,8:15,48451.16,420.13
2021/12/3,8:30,47130.86,420.13
2021/12/3,8:45,45213,420.13
2021/12/3,9:00,43545.38,420.13
2021/12/3,9:15,42364.37,298.94
2021/12/3,9:30,41079.71,298.94
2021/12/3,9:45,39314.05,298.94
2021/12/3,10:00,38621.48,298.94
2021/12/3,10:15,37834.83,252.78
2021/12/3,10:30,37420.01,252.78
2021/12/3,10:45,36217.95,252.78
2021/12/3,11:00,36864.11,252.78
2021/12/3,11:15,37524.58,241.64
2021/12/3,11:30,36629.35,241.64
2021/12/3,11:45,35409.15,241.64
2021/12/3,12:00,33752.38,241.64
2021/12/3,12:15,32977.84,45.63
2021/12/3,12:30,32680.82,45.63
2021/12/3,12:45,33219.38,45.63
2021/12/3,13:00,33654.12,45.63
2021/12/3,13:15,35114.48,253.8
2021/12/3,13:30,35238.21,253.8
2021/12/3,13:45,35669.72,253.8
2021/12/3,14:00,35435.97,253.8
2021/12/3,14:15,35358.31,264.81
2021/12/3,14:30,35136.6,264.81
2021/12/3,14:45,35999.55,264.81
2021/12/3,15:00,37101.24,264.81
2021/12/3,15:15,38543.26,370.59
2021/12/3,15:30,40521.05,370.59
2021/12/3,15:45,42555.21,370.59
2021/12/3,16:00,44783.52,370.59
2021/12/3,16:15,45954.2,638.37
2021/12/3,16:30,47548.89,638.37
2021/12/3,16:45,48987.37,638.37
2021/12/3,17:00,49168.55,638.37
2021/12/3,17:15,50010.76,804.01
2021/12/3,17:30,50359.58,804.01
2021/12/3,17:45,49925.86,804.01
2021/12/3,18:00,49094.25,804.01
