unit ID,Capacity（MW）,utilization hour (h),coal consumption (g coal/KWh),power consumption rate (%)
1,110,2069.12,266.07,6.91
2,160,5509.22,292.7,6.91
3,160,3562.79,293.35,6.91
4,160,5684.12,284.88,6.91
5,220,2231.35,323.08,8.54
6,220,3255.01,321.72,8.54
7,220,5361.12,317.13,8.54
8,220,4752.73,320.21,8.54
9,150,1598.25,344.47,5.91
10,150,3369.59,311.45,5.91
11,315,5786.89,283.32,5.91
12,315,5676.96,292.42,5.91
13,145,3938.84,246.27,5.38
14,145,4769.08,277.92,5.38
15,335,5288.46,266.97,5.38
16,335,4807.65,281.59,5.38
17,140,1808.09,294.58,5.93
18,140,3294.85,277.32,5.93
19,140,3852.32,292.68,5.93
20,140,3077.6,293.38,5.93
21,350,4485.47,275.45,5.93
22,350,5478.45,277.14,5.93
23,300,5203.77,305.44,5.68
24,300,5882.75,306.77,5.68
25,330,3421.85,310.19,3.54
26,330,3463.49,323.36,3.54
27,1030,4509.91,272.4,3.54
28,1030,4423.07,261.31,3.54
29,330,1760.08,321.5,5.36
30,330,2463.11,323.56,5.36
31,660,5420.44,273.71,5.36
32,660,5433.73,270.23,5.36
33,350,4823.98,275.98,4.48
34,330,4423.62,249.82,4.48
35,330,4240.16,249.02,4.48
36,350,5251.85,277.14,4.48
37,315,3545.24,326.14,6.76
38,315,3664.48,325.79,6.76
39,315,4974.6,341.04,6.76
40,315,3596.42,344.66,6.76
41,330,3384.92,302.68,6.76
42,330,4957.84,298.96,6.76
43,320,4910.27,278.29,5.53
44,320,4449.49,260.33,5.53
45,300,5082.94,288.84,5.53
46,330,3763.17,290.4,5.53
47,350,4261.61,269.29,4.38
48,350,4563.14,263.9,4.38
49,335,3358.36,294.39,6.44
50,335,4895.49,285.84,6.44
51,335,3824.99,315.5,6.44
52,335,2130.48,315.69,6.44
53,600,2996.33,307.03,6.44
54,600,4815.9,304.5,6.44
55,1000,5680.01,285.63,6.44
56,1000,5140.55,277.81,6.44
57,330,5144.46,250.11,5.08
58,320,5022.69,310.13,5.08
59,330,4776.42,311.61,5.08
60,320,4212.58,312.82,5.08
61,700,5403.36,313.94,5.08
62,700,4397.21,314.45,5.08
63,300,5715.2,331.26,6.13
64,300,4871.04,326.86,6.13
65,330,4903.84,303.63,6.13
66,330,4407.31,302.62,6.13
67,330,3499.36,298.37,4.9
68,330,3118.21,274.91,4.9
69,670,4248.85,286.01,4.9
70,670,5407.06,270.4,4.9
71,320,4438.44,313.42,5.09
72,320,4438.44,313.42,3.62
73,320,5258.91,312.11,5.09
74,320,5258.91,312.11,3.62
75,680,4817.44,278.08,5.09
76,680,4817.44,278.08,3.62
77,680,4599.82,270.13,5.09
